unique_reaction_id,original_reaction_id,source,reactant_0_fg_counts,reactant_0_num_atoms,reactant_0_num_bonds,reactant_0_MolWt,reactant_0_NumHDonors,reactant_0_NumHAcceptors,reactant_0_atom_features,reactant_0_bond_features,reactant_1_fg_counts,reactant_1_num_atoms,reactant_1_num_bonds,reactant_1_MolWt,reactant_1_NumHDonors,reactant_1_NumHAcceptors,reactant_1_atom_features,reactant_1_bond_features,product_0_num_atoms,product_0_num_bonds,product_0_MolWt,product_0_NumHDonors,product_0_NumHAcceptors,product_0_atom_features,product_0_bond_features,product_1_num_atoms,product_1_num_bonds,product_1_MolWt,product_1_NumHDonors,product_1_NumHAcceptors,product_1_atom_features,product_1_bond_features
0,rxn_1,ZEUS,"{'Hydroxyl': 2, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",2,1,34.014,2,2,"{'atom_type_counts': {8: 2}, 'num_bonds_counts': {1: 2}, 'formal_charge_counts': {0: 2}, 'chirality_counts': {'unspecified': 2}, 'num_hydrogens_counts': {1: 2}, 'hybridization_counts': {'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.15999)}","{'bond_type_counts': {'single': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 1}}","{'Hydroxyl': 1, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",5,4,73.115,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 2, 2: 3}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 1, 1: 2, 2: 2}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}",2,1,33.006,1,1,"{'atom_type_counts': {8: 2}, 'num_bonds_counts': {1: 2}, 'formal_charge_counts': {0: 2}, 'chirality_counts': {'unspecified': 2}, 'num_hydrogens_counts': {0: 1, 1: 1}, 'hybridization_counts': {'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.15999)}","{'bond_type_counts': {'single': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 1}}",5,4,74.12299999999999,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 2, 2: 3}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 1, 2: 3, 1: 1}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}"
1,rxn_3,ZEUS,"{'Hydroxyl': 2, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",2,1,34.014,2,2,"{'atom_type_counts': {8: 2}, 'num_bonds_counts': {1: 2}, 'formal_charge_counts': {0: 2}, 'chirality_counts': {'unspecified': 2}, 'num_hydrogens_counts': {1: 2}, 'hybridization_counts': {'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.15999)}","{'bond_type_counts': {'single': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 1}}","{'Hydroxyl': 1, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",5,4,73.115,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 2, 2: 3}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 1, 2: 2, 1: 2}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}",2,1,33.006,1,1,"{'atom_type_counts': {8: 2}, 'num_bonds_counts': {1: 2}, 'formal_charge_counts': {0: 2}, 'chirality_counts': {'unspecified': 2}, 'num_hydrogens_counts': {0: 1, 1: 1}, 'hybridization_counts': {'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.15999)}","{'bond_type_counts': {'single': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 1}}",5,4,74.12299999999999,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 2, 2: 3}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 1, 2: 3, 1: 1}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}"
2,rxn_5,ZEUS,"{'Hydroxyl': 2, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",2,1,34.014,2,2,"{'atom_type_counts': {8: 2}, 'num_bonds_counts': {1: 2}, 'formal_charge_counts': {0: 2}, 'chirality_counts': {'unspecified': 2}, 'num_hydrogens_counts': {1: 2}, 'hybridization_counts': {'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.15999)}","{'bond_type_counts': {'single': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 1}}","{'Hydroxyl': 1, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",5,4,73.115,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 3, 2: 1, 3: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 2, 1: 3}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}",2,1,33.006,1,1,"{'atom_type_counts': {8: 2}, 'num_bonds_counts': {1: 2}, 'formal_charge_counts': {0: 2}, 'chirality_counts': {'unspecified': 2}, 'num_hydrogens_counts': {0: 1, 1: 1}, 'hybridization_counts': {'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.15999)}","{'bond_type_counts': {'single': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 1}}",5,4,74.12299999999999,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 3, 2: 1, 3: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 2, 2: 1, 1: 2}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}"
3,rxn_6,ZEUS,"{'Hydroxyl': 2, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",2,1,34.014,2,2,"{'atom_type_counts': {8: 2}, 'num_bonds_counts': {1: 2}, 'formal_charge_counts': {0: 2}, 'chirality_counts': {'unspecified': 2}, 'num_hydrogens_counts': {1: 2}, 'hybridization_counts': {'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.15999)}","{'bond_type_counts': {'single': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 1}}","{'Hydroxyl': 1, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",5,4,73.11499999999998,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 3, 2: 1, 3: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 2, 2: 1, 0: 1, 1: 1}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}",2,1,33.006,1,1,"{'atom_type_counts': {8: 2}, 'num_bonds_counts': {1: 2}, 'formal_charge_counts': {0: 2}, 'chirality_counts': {'unspecified': 2}, 'num_hydrogens_counts': {0: 1, 1: 1}, 'hybridization_counts': {'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.15999)}","{'bond_type_counts': {'single': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 1}}",5,4,74.12299999999999,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 3, 2: 1, 3: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 2, 2: 1, 1: 2}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}"
4,rxn_8,ZEUS,"{'Hydroxyl': 2, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",2,1,34.014,2,2,"{'atom_type_counts': {8: 2}, 'num_bonds_counts': {1: 2}, 'formal_charge_counts': {0: 2}, 'chirality_counts': {'unspecified': 2}, 'num_hydrogens_counts': {1: 2}, 'hybridization_counts': {'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.15999)}","{'bond_type_counts': {'single': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 1}}","{'Hydroxyl': 1, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",5,4,73.11499999999998,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 4, 4: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {2: 1, 0: 1, 3: 2, 1: 1}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}",2,1,33.006,1,1,"{'atom_type_counts': {8: 2}, 'num_bonds_counts': {1: 2}, 'formal_charge_counts': {0: 2}, 'chirality_counts': {'unspecified': 2}, 'num_hydrogens_counts': {0: 1, 1: 1}, 'hybridization_counts': {'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.15999)}","{'bond_type_counts': {'single': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 1}}",5,4,74.12299999999999,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 4, 4: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 3, 0: 1, 1: 1}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}"
5,rxn_9,ZEUS,"{'Hydroxyl': 0, 'Carbonyl': 1, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",2,1,30.026,0,1,"{'atom_type_counts': {6: 1, 8: 1}, 'num_bonds_counts': {1: 2}, 'formal_charge_counts': {0: 2}, 'chirality_counts': {'unspecified': 2}, 'num_hydrogens_counts': {2: 1, 0: 1}, 'hybridization_counts': {'SP2': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.14005)}","{'bond_type_counts': {'double': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 1}}","{'Hydroxyl': 0, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 1, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",4,3,55.099999999999994,0,0,"{'atom_type_counts': {6: 4}, 'num_bonds_counts': {1: 3, 3: 1}, 'formal_charge_counts': {0: 4}, 'chirality_counts': {'unspecified': 4}, 'num_hydrogens_counts': {2: 2, 0: 1, 3: 1}, 'hybridization_counts': {'SP3': 2, 'SP2': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12011)}","{'bond_type_counts': {'single': 2, 'double': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 3}}",2,1,29.018,0,1,"{'atom_type_counts': {6: 1, 8: 1}, 'num_bonds_counts': {1: 2}, 'formal_charge_counts': {0: 2}, 'chirality_counts': {'unspecified': 2}, 'num_hydrogens_counts': {1: 1, 0: 1}, 'hybridization_counts': {'SP2': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.14005)}","{'bond_type_counts': {'double': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 1}}",4,3,56.10799999999999,0,0,"{'atom_type_counts': {6: 4}, 'num_bonds_counts': {1: 3, 3: 1}, 'formal_charge_counts': {0: 4}, 'chirality_counts': {'unspecified': 4}, 'num_hydrogens_counts': {2: 1, 0: 1, 3: 2}, 'hybridization_counts': {'SP2': 2, 'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12011)}","{'bond_type_counts': {'double': 1, 'single': 2}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 3}}"
6,rxn_10,ZEUS,"{'Hydroxyl': 0, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",3,2,44.096999999999994,0,0,"{'atom_type_counts': {6: 3}, 'num_bonds_counts': {1: 2, 2: 1}, 'formal_charge_counts': {0: 3}, 'chirality_counts': {'unspecified': 3}, 'num_hydrogens_counts': {3: 2, 2: 1}, 'hybridization_counts': {'SP3': 3}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12011)}","{'bond_type_counts': {'single': 2}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 2}}","{'Hydroxyl': 1, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",5,4,73.115,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 3, 3: 1, 2: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 2, 0: 1, 2: 1, 1: 1}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}",3,2,43.089,0,0,"{'atom_type_counts': {6: 3}, 'num_bonds_counts': {1: 2, 2: 1}, 'formal_charge_counts': {0: 3}, 'chirality_counts': {'unspecified': 3}, 'num_hydrogens_counts': {3: 2, 1: 1}, 'hybridization_counts': {'SP3': 3}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12011)}","{'bond_type_counts': {'single': 2}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 2}}",5,4,74.12299999999999,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 3, 3: 1, 2: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 2, 1: 2, 2: 1}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}"
7,rxn_13,ZEUS,"{'Hydroxyl': 0, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 1, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",4,3,56.10799999999999,0,0,"{'atom_type_counts': {6: 4}, 'num_bonds_counts': {1: 3, 3: 1}, 'formal_charge_counts': {0: 4}, 'chirality_counts': {'unspecified': 4}, 'num_hydrogens_counts': {2: 1, 0: 1, 3: 2}, 'hybridization_counts': {'SP2': 2, 'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12011)}","{'bond_type_counts': {'double': 1, 'single': 2}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 3}}","{'Hydroxyl': 1, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",5,4,73.115,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 3, 3: 1, 2: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 2, 0: 1, 2: 1, 1: 1}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}",4,3,55.099999999999994,0,0,"{'atom_type_counts': {6: 4}, 'num_bonds_counts': {1: 3, 3: 1}, 'formal_charge_counts': {0: 4}, 'chirality_counts': {'unspecified': 4}, 'num_hydrogens_counts': {2: 2, 0: 1, 3: 1}, 'hybridization_counts': {'SP3': 2, 'SP2': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12011)}","{'bond_type_counts': {'single': 2, 'double': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 3}}",5,4,74.12299999999999,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 3, 3: 1, 2: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 2, 1: 2, 2: 1}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}"
8,rxn_14,ZEUS,"{'Hydroxyl': 0, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 1, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",4,3,56.10799999999999,0,0,"{'atom_type_counts': {6: 4}, 'num_bonds_counts': {1: 3, 3: 1}, 'formal_charge_counts': {0: 4}, 'chirality_counts': {'unspecified': 4}, 'num_hydrogens_counts': {2: 1, 0: 1, 3: 2}, 'hybridization_counts': {'SP2': 2, 'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12011)}","{'bond_type_counts': {'double': 1, 'single': 2}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 3}}","{'Hydroxyl': 1, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",5,4,73.115,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 3, 3: 1, 2: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 2, 1: 3}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}",4,3,55.099999999999994,0,0,"{'atom_type_counts': {6: 4}, 'num_bonds_counts': {1: 3, 3: 1}, 'formal_charge_counts': {0: 4}, 'chirality_counts': {'unspecified': 4}, 'num_hydrogens_counts': {2: 2, 0: 1, 3: 1}, 'hybridization_counts': {'SP3': 2, 'SP2': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12011)}","{'bond_type_counts': {'single': 2, 'double': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 3}}",5,4,74.12299999999999,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 3, 3: 1, 2: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 2, 1: 2, 2: 1}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}"
9,rxn_15,ZEUS,"{'Hydroxyl': 0, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 1, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",4,3,56.10799999999999,0,0,"{'atom_type_counts': {6: 4}, 'num_bonds_counts': {1: 3, 3: 1}, 'formal_charge_counts': {0: 4}, 'chirality_counts': {'unspecified': 4}, 'num_hydrogens_counts': {2: 1, 0: 1, 3: 2}, 'hybridization_counts': {'SP2': 2, 'SP3': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12011)}","{'bond_type_counts': {'double': 1, 'single': 2}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 3}}","{'Hydroxyl': 0, 'Carbonyl': 0, 'Amine': 0, 'Carboxylic Acid': 0, 'Ester': 0, 'Ether': 0, 'Aromatic Ring': 0, 'Alkene': 0, 'Alkyne': 0, 'Halogen': 0, 'Nitro': 0, 'Sulfonyl': 0}",5,4,73.115,0,0,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 3, 3: 1, 2: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 2, 1: 1, 2: 1, 0: 1}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}",4,3,55.099999999999994,0,0,"{'atom_type_counts': {6: 4}, 'num_bonds_counts': {1: 3, 3: 1}, 'formal_charge_counts': {0: 4}, 'chirality_counts': {'unspecified': 4}, 'num_hydrogens_counts': {2: 2, 0: 1, 3: 1}, 'hybridization_counts': {'SP3': 2, 'SP2': 2}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12011)}","{'bond_type_counts': {'single': 2, 'double': 1}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 3}}",5,4,74.12299999999999,1,1,"{'atom_type_counts': {6: 4, 8: 1}, 'num_bonds_counts': {1: 3, 3: 1, 2: 1}, 'formal_charge_counts': {0: 5}, 'chirality_counts': {'unspecified': 5}, 'num_hydrogens_counts': {3: 2, 1: 2, 2: 1}, 'hybridization_counts': {'SP3': 5}, 'aromatic_atom_count': 0, 'average_atomic_mass': np.float64(0.12808599999999998)}","{'bond_type_counts': {'single': 4}, 'conjugated_bond_count': 0, 'ring_bond_count': 0, 'stereo_counts': {'none': 4}}"
